food_number,food_name,types_cooking,ingredient_main,ingredient_sub,seasoning,national_classification,kcal
76,오이냉국,국,"오이 2개, 물 10컵","대파 1대, 홍고추 1개, 물 4컵","파 1작은술, 다진마늘 1작은술, 간장 3큰술, 식초 3큰술, 설탕 1큰술, 깨소금 약간, 고춧가루 약간, 소금 약간",한식,82kcal
77,우무콩냉국,국,"우무 40g, 콩 500g",오이 1/2개,"깨 2큰술, 잣 4큰술, 생수 2컵, 소금 약간",한식,82kcal
78,유부미역된장국,국,"불린미역 100g, 유부 5장, 두부 1/3모","실파 2뿌리, 멸치 한줌, 다시마 2장","된장 3큰술, 미림 2큰술, 물 8컵",한식,130kcal
79,재첩국,국,재첩 10컵,"부추 20g, 물 4컵",소금 약간,한식,130kcal
80,조개맑은탕,국,대합 15개,"다시마(5cm x 10cm) 1장, 팽이버섯 50g, 두부 1/2모, 쑥갓 50g, 레몬 4쪽, 물 10컵","국간장 약간, 소금 약간, 청주 약간",한식,120kcal
81,콩가루에빠진쑥국,국,"쑥 20g, 날콩가루 2큰술","대파 10g, 홍고추 1/4개, 팽이버섯 20g, 건새우 20g, 다시마 10g, 멸치 10g, 물 1.5L",된장 100g,한식,45kcal
82,콩나물냉국,국,콩나물 300g,"대파 1/2뿌리, 홍고추 1개, 깨소금 약간, 물 10컵","마늘 1쪽, 생강 1/2쪽, 식초 2큰술, 소금 2큰술, 설탕 1큰술",한식,163kcal
83,콩나물북어채국,국,"콩나물 50g, 북어채 50g","실파 2뿌리, 홍고추 1/2개","다진마늘 1작은술, 청주 1작은술, 소금 1/2작은술, 물 9컵, 참기름 1/3작은술",한식,114kcal
84,톳미역콩국,국,"톳 100g, 미역 50g, 메주콩 500g","각색콩(검은콩, 강낭콩 등) 4큰술, 물 4컵","참깨 1/2컵, 소금 약간",한식,155kcal
85,해물 취나물된장국,국,"꽃게 2마리, 키조개 1개, 취나물 30g","된장 4큰술, 청주 2큰술, 물 4컵",,한식,114kcal
86,갈치무조림,조림,"갈치 1마리, 무 1/4개","감자 1개, 홍고추 1개, 대파 1/2뿌리","물 약간, 간장 4큰술, 고추장 1큰술, 고춧가루 1큰술, 마늘 2톨, 생강 1/2개, 설탕 2큰술, 깨소금 약간, 참기름 약간",한식,220kcal
87,갈치조림,조림,갈치 4토막,"무 1/3개, 애호박 1/2개, 당근 1/4개, 대파 1개, 양파 1/2개, 홍고추 1개, 청고추 1개","굵은고춧가루 2큰술, 고운고춧가루 1큰술, 설탕 1큰술, 다진생강 2작은술, 다진마늘 1큰술, 정종 1큰술, 된장 2작은술, 후춧가루 약간, 소금 약간, 간장 2큰술, 물엿 2큰술",한식,240kcal
88,감자곤약조림,조림,"감자 2개, 곤약 40g",당근 1/4개,"다시마 약간, 마늘 2쪽, 간장 2큰술, 설탕 2/3큰술, 정종 2/3큰술, 생강 약간",한식,85kcal
89,감자조림,조림,"감자 3개, 멸치(조림용) 100g, 꽈리고추 10개","식용유 3큰술, 깨소금 약간","진간장 3큰술, 물엿 1큰술, 청주 1큰술",한식,108kcal
90,견과류조림,조림,"호두 6개, 땅콩 4큰술, 잣 4큰술, 밤 4개","간장 2큰술, 물 2큰술, 조청 4큰술",,한식,147kcal
91,고등어무조림,조림,"고등어 1마리, 무 1/3개",대파 1/2뿌리,"간장 2큰술, 고추장 1큰술, 고춧가루 1큰술, 설탕 1큰술, 청주 1큰술, 다진파 3큰술, 다진마늘 2큰술, 다진생강 1큰술, 후춧가루 1/4작은술, 물 2/3컵",한식,240kcal
92,고등어조림,조림,고등어 1마리,"무 1/3개, 애호박 1/2개, 당근 1/4개, 대파 1개, 양파 1/2개, 홍고추 2개, 풋고추 2개, 팽이버섯 1/2팩","간장 2큰술, 굵은고춧가루 2큰술, 고운고춧가루 1큰술, 설탕 1큰술, 물엿 2큰술, 생강 2작은술, 마늘 1큰술, 정종 1큰술, 된장 2큰술, 후춧가루 약간, 소금 약간",한식,250kcal
93,고등어튀김케첩조림,조림,고등어 1마리,"피망(붉은색) 1/2쪽, 양파 1/2개, 실파 3쪽, 녹말 1큰술","생강(즙낸것) 1큰술, 토마토케찹 4큰술, 육수 1/2컵, 설탕 11/2큰술, 간장 1/2큰술, 마늘 1쪽",한식,410kcal
94,굴비조림,조림,굴비 2마리,"무 1/3개, 애호박 1/2개, 당근 1/4개, 대파 1개, 양파 1/2개, 홍고추 1개, 청고추 1개, 팽이버섯 1/2팩, 굵은고춧가루 2큰술, 고운고춧가루 1큰술","설탕 1큰술, 물엿 2큰술, 생강 2작은술, 마늘 1큰술, 정종 1큰술, 된장 2작은술, 후춧가루 약간, 소금 약간",한식,254kcal
95,꼴뚜기조림,조림,건꼴뚜기 1컵,"홍고추 약간, 깨소금 약간","간장 2큰술, 설탕 2작은술, 물엿 2작은술, 청주 1큰술, 생강즙 1/2작은술, 물 3큰술",한식,135kcal
96,돼지고기우엉말이조림,조림,"우엉 100g, 돼지고기 100g","간장 3큰술, 다시물 1/2컵, 고춧가루(곱게갈은것) 1/2큰술, 정종 2큰술, 설탕 2큰술, 생강즙 약간",,한식,170kcal
97,두부양념조림,조림,두부 1/2모,"홍고추 약간, 통깨 약간","간장 1과1/2큰술, 설탕 1/2큰술, 물엿 1/2큰술, 후춧가루 약간, 참기름 약간, 실고추 약간",한식,98kcal
98,두부조림,조림,두부 1모,"청고추 1개, 홍고추 1개","다진마늘 1작은술, 굴소스 4큰술, 물 1/3컵, 참기름 약간, 소금 약간",한식,108kcal
99,떡선,조림,"가래떡 1줄, 쇠고기(홍두깨) 50g",계란 1개,"설탕 1큰술, 후춧가루 약간, 간장 2큰술, 물엿 1큰술, 청주 1큰술, 물 1큰술",한식,450kcal
100,알감자조림,조림,알감자 60g,소금 약간,"간장 3큰술, 물엿 1큰술, 설탕 1/2큰술, 미림 1/4큰술, 참기름 약간, 깨소금 약간, 물 1/2컵, 후춧가루 약간, 다진파 약간",한식,127kcal
101,알감자조림,조림,알감자 300g,물 1컵,"간장 2큰술, 물엿 1큰술, 설탕 1작은술, 참기름 약간, 깨소금 약간",한식,105kcal
102,어묵곤약조림,조림,"어묵 100g, 곤약 50g",식용유 약간,"다시마국물 1/2컵, 다진마늘 1작은술, 햇살담은간장 2큰술, 물엿 1큰술, 청주 1작은술, 깨소금 약간",한식,163kcal
103,우엉조림,조림,우엉 400g,"간장 4큰술, 물엿 2큰술, 깨소금 1큰술, 소금 약간, 물 약간",,한식,75kcal
104,조기한식조림,조림,조기 1마리,"무 20g, 대파 1대, 느타리버섯 20g, 두부 20g, 죽순 20g","굵은고춧가루 1큰술, 고운고춧가루 1큰술, 진간장 70cc, 설탕 8g, 다진마늘 1큰술, 조미료 약간, 참기름 약간, 맛술 1작은술, 깨소금 약간, 가쓰오다시(육수) 1컵",한식,174kcal
105,향신양념쇠고기장조림,조림,쇠고기 600g,"물 2컵, 향신즙 2큰술, 향신장 1/2컵, 육수 1컵",,한식,120kcal
106,가자미구이,구이,가자미 1마리,청정원참빛고운카놀라유 약간,소금 약간,한식,148kcal
107,갈치구이,구이,갈치 1마리,밀가루 2큰술,"소금 1작은술, 후춧가루 1작은술, 레몬 1개",한식,165kcal
108,건포도갈비구이,구이,쇠고기(갈비) 400g,"간장 2큰술, 양파즙 1/3컵, 건포도페이스트 1컵, 청주 1큰술, 다진마늘 1큰술, 참기름 1큰술",,한식,289kcal
109,고등어된장구이,구이,고등어 1/2마리,"된장 3큰술, 생강 1개, 마늘 5개, 정종 2큰술, 양파 1/2개, 후춧가루 약간",,한식,180kcal
110,고등어스테이크,구이,고등어 1마리,"소금 약간, 후춧가루 약간, 올리브유 약간","가다랑이포 한줌, 미소 1큰술, 설탕 1과1/2큰술, 물 1컵, 생강즙 1작은술, 물엿 1작은술, 다진마늘 1큰술",한식,220kcal
111,고등어양념구이,구이,고등어 1/2마리,"대파 1개, 양파 1개, 실파 3개, 홍고추 2개, 청고추 2개","간장 3큰술, 굵은고춧가루 2큰술, 고운고춧가루 1큰술, 정종 2큰술, 생강 1개, 마늘 5쪽, 참기름 2작은술, 깨소금 1큰술, 물엿 2큰술",한식,175kcal
112,굴꼬치구이,구이,굴 200g,식용유 약간,"대파 2쪽, 굴소스 2큰술, 두반장 1/2큰술, 물 3큰술, 설탕 1/2큰술, 깨소금 약간, 다진마늘 약간, 다진생강 약간, 참기름 약간",한식,152kcal
113,김구이,구이,김 10장,"참기름 적당량, 식용유 적당량, 들기름 적당량, 맛소금 약간",,한식,17kcal
114,꽁치구이,구이,꽁치 1마리,"소금 3큰술, 와사비 약간, 레몬 1/8조각, 간장 1큰술",,한식,183kcal
115,낙지호롱구이,구이,낙지 2마리,굵은소금 약간,"고추장 1큰술, 고춧가루 2큰술, 간장 1큰술, 설탕 1큰술, 물엿 1/2큰술, 다진마늘 1큰술, 다진파 2큰술, 청주 1큰술, 참기름 2큰술, 후춧가루 약간",한식,168kcal
116,닭꼬치구이,구이,닭고기 500g,"우유 1컵, 포도씨유 약간, 대파 약간, 새송이버섯 약간","진간장 1큰술, 고추장 1큰술, 토마토케첩 2큰술, 설탕 1큰술, 물엿 1큰술, 다진마늘 1작은술, 청주 1큰술, 생강즙 1/2작은술, 소금 약간, 후추 약간",한식,140kcal
117,대파미소구이,구이,대파 2대,"미소 2큰술, 정종 1큰술, 조청 1작은술",,한식,36kcal
118,도루묵구이,구이,도루묵 2마리,식용유 약간,"소금 약간, 레몬 약간",한식,163kcal
119,돼지갈비구이,구이,돼지갈비(구이용) 600g,"깨소금 조금, 상추 조금, 깻잎 조금","생강즙 2큰술, 술 2큰술, 진간장 5큰술, 다진파 2큰술, 다진마늘 1큰술, 고춧가루 1큰술, 설탕 2큰술",한식,1000kcal
120,돼지고기고추장구이,구이,돼지고기(등심 또는 삼겹살) 300g,"양파 1/2개, 청고추 2개, 다진파 약간, 깨소금 약간","마늘 3쪽, 고추장 2큰술, 진간장 2큰술, 설탕 1큰술, 다진마늘 약간, 다진생강 약간, 참기름 약간",한식,180kcal
121,두부김치,구이,"두부 1/2모, 신김치 50g","햄 200g, 식용유 약간","소금 약간, 참기름 약간",한식,265kcal
122,떡꼬치,구이,"가래떡(떡볶이용) 250g, 쇠고기(우둔) 100g",브로콜리 40g,"마늘 1쪽, 고추장 2큰술, 고춧가루 1/2작은술, 설탕 1큰술, 간장 1/2큰술, 후춧가루 약간, 깨소금 약간, 물 1/2컵, 참기름 약간",한식,299kcal
123,로스편채,구이,"쇠고기 150g, 찹쌀가루 1컵","깻잎 1묶음, 양파 1/2개, 무순 약간, 식용유 약간","맛소금 약간, 후추 약간, 식초 1큰술, 간장 2큰술, 설탕 3큰술, 맛술 2큰술, 참기름 약간, 겨자 1/2큰술",한식,290kcal
124,뱅어포구이,구이,뱅어포 4장,"카놀라유 약간, 깨소금 약간","고추장 4큰술, 물엿 1큰술, 실파 3뿌리, 다진마늘 1큰술, 생강 1/2쪽, 참기름 1작은술",한식,120kcal
