food_number,food_name,recipe,serving_number,level
38,참치죽,"1. 참치캔의 기름은 체에 밭쳐 제거하고 찬밥, 물과 함께 집어넣고 푹 끓인다.
2. 밥알이 퍼지기 시작하면 쌈장으로 적당하게 간을 본 후 썰어놓은 대파를 넣고 뚜껑을 닫고 불에서 내린다.
3. 조미김을 부셔넣고 참기름을 살짝 뿌려서 섞어준다.",2인분 기준,초보환영
39,참치죽,"1. 참치통조림은 체에 밭쳐 기름기를 제거한다.
2. 당근, 감자, 표고버섯, 호박은 크기를 맞춰 다진다.
3. 냄비에 참기름을 살짝 두르고 불린 쌀을 볶는다.
4. 쌀이 어느 정도 투명해지면 실파를 제외한 야채, 참치를 넣고, 다시물 2컵을 넣어 한소끔 끓인다.
5. 바닥이 눌지 않도록 나무주걱으로 저어가면서 끓여 물이 졸아들면, 다시물 3컵을 넣고 쌀알이 푹 퍼지도록 끓여 국간장과 참기름으로 마무리한다.
6. 먹기 직전에 통깨, 다진 실파를 뿌려준다.",2인분 기준,초보환영
40,채소영양밥,"1. 쌀은 씻어 충분히 물에 불려 놓는다.
2. 은행은 볶아 껍질을 까 놓고 깐 밤과 대추는 깨끗이 씻어 놓는다.
3. 스위트콘은 체에 밭쳐 물기를 빼놓는다.
4. 느타리버섯은 깨끗이 씻어 물기를 꼭 짜놓는다.
5. 냄비에 쌀과 물을 붓고 소금으로 간을 한 뒤 위의 재료를 모두 얹어 밥을 짓는다. 밥이 고슬고슬하게 지어지면 주걱으로 잘 섞어 낸다.",2인분 기준,초보환영
41,콩가루찬밥지짐이,"1. 당근, 피망은 곱게 다진다.
2. 볼에 밥과 야채, 콩가루, 참기름을 넣어 찰지게 치댄다.
3. 밥을 한 입 크기의 동그랑땡 모양으로 퍼지지 않게 모양 내준다.
4. 계란을 멍울 없이 풀어 소금 간을 한 후 동그랑땡을 묻혀 기름 두른 프라이팬에 앞뒤로 지져낸다.",2인분 기준,초보환영
42,콩나물국밥,"1. 뚝배기에 한 사람이 먹을 만큼의 밥을 담고 콩나물은 씻어 삶아 밥이 덮일 만큼 수북이 얹는다.
2. ①위에 어슷썬 실파와 청고추, 결대로 찢은 장조림을 보기 좋게 둘러 얹고, 그 위에 잘게 썬 김치와 다진 마늘을 얹는다.
3. 재료를 넣은 뚝배기에 육수를 자작하게 부어 보글보글 끓이다가 상에 내기 직전에 살짝 구운 김을 비벼 얹고 생계란을 깨뜨려 얹은 다음 깨소금을 뿌린다.
4. 새우젓을 따로 곁들여 식성대로 간을 맞춰 먹는다.",4인분 기준,초보환영
43,콩나물무밥,"1. 쌀은 씻어 건져 놓는다.
2. 콩나물은 통통한 것으로 다듬어 씻어 놓는다.
3. 돼지고기는 살코기로 준비해 4~5㎝ 길이로 굵게 채썬다.
4. 무는 깨끗이 씻어서 폭 0.5㎝ 길이 4~5㎝ 길이로 굵게 채썬다.
5. 취나물은 끓는 물에 소금을 조금 넣고 데쳐서 찬물에 1시간 정도 담가 쓴맛을 우려낸다. 여러번 헹군 뒤 물기를 꼭 짜서 4㎝ 길이로 썬다.
6. 돼지고기에 양념을 해서 프라이팬에 볶아 놓는다.
7. 냄비에 참기름 2큰술을 두르고 쌀을 넣은 다음 돼지고기, 콩나물, 무를 넣어 밥을 짓는다.
8. 밥이 끓으면 취나물을 얹고 계속 끓여 취나물이 부드럽게 익으면 불을 줄여 뜸을 들인다.
9. 양념장 재료를 섞어 양념장을 만들어 곁들인다.
* 돼지고기 양념장 : 간장 1큰술, 설탕 1작은술, 마늘 1작은술, 참기름약간, 후추약간",2인분 기준,초보환영
44,콩나물밥,"1. 쌀은 미리 씻어 불려놓고 콩나물은 씻어 소금물에 살짝 데쳐 놓는다.
2. 쇠고기는 곱게 다져 파, 마늘, 진간장으로 양념하여 볶는다.
3. 콩나물 삶은 물을 냄비에 붓고 쌀을 앉혀 밥을 짓다가 끓으면 삶은 콩나물과 쇠고기를 얹어 뜸들인다
4. 뜸이 들면 고루 섞어 그릇에 담고 양념장과 함께 낸다.
**양념장: 간장 4큰술, 고춧가루 1큰술, 다진마늘 1/2작은술, 다진파 1작은술, 설탕 1작은술, 후춧가루 약간",4인분 기준,초보환영
45,키조개나물밥,"1. 키조개는 소금물에 해감한 후 조개 사이로 숟가락을 넣어 껍질과 살을 분리한다. 살의 내장을 제거한 후 한 입 크기로 썰어 분량의 물에 데친다.
2. 머위와 취, 씀바귀는 소금물에 데친 후 찬물에 담가 쓴맛을 빼고, 머위는 줄기의 껍질을 벗긴다. 모두 한입 크기로 썬다.
3. 불린 쌀과 조개 데친 물을 체에 걸러 고슬고슬하게 밥을 짓는다. 밥이 다 되면 ②의 나물을 넣고 고루 섞어 준다.
4. 풋마늘은 송송 썰어 분량의 간장, 식초, 통깨와 잘 섞어 양념장을 만들고 밥과 함께 곁들여 낸다. 양념장을 넣고 비벼 먹는다.",4인분 기준,초보환영
46,해삼밥,"1. 불린 쌀은 체에 밭쳐 물기를 뺀다.
2. 반건조해삼은 물에 불려놓은 것을 깨끗이 씻어 2cm 간격으로 자른다.
3. 표고버섯은 기둥을 제거하고 사방 1cm 크기로 자른다.
4. 당근은 껍질을 제거하고 사방 1cm 크기로 자르고 완두콩은 씻어 체에 밭쳐놓는다.
5. 두터운 냄비에 재료를 넣고 10분간 끓이고 10분간 뜸을 들여 밥을 한다.",2인분 기준,초보환영
47,현미땅콩죽,"1. 현미 찹쌀은 불린 뒤 8배 정도의 물을 넣고 퍼지게 끓인다.
2. 생땅콩은 불린 뒤 껍질을 까서 믹서에 갈아 놓는다.
3. 현미가 퍼지면 ②를 넣고 살짝 끓여 소금간을 한다.",2인분 기준,초보환영
48,흑임자깨죽,"1. 흑임자는 약불에 타지 않게 볶아준다.
2. 믹서에 밥, 불린 쌀, 흑임자깨, 물1컵을 넣어 곱게 간다.
3. ②를 체에 걸러 내고 냄비에 담아 약불에 저어가며 끓여준다.
4. 소금 간으로 마무리하고 불에서 내린다.",2인분 기준,초보환영
